iter	Passed	Remaining
1069	16915	14702
1070	16930	14686
1071	16945	14669
1072	16960	14652
1073	16975	14636
1074	16992	14621
1075	17009	14607
1076	17026	14591
1077	17043	14577
1078	17057	14559
1079	17074	14544
1080	17089	14528
1081	17102	14510
1082	17118	14494
1083	17134	14479
1084	17149	14462
1085	17164	14446
1086	17180	14430
1087	17194	14412
1088	17207	14394
1089	17223	14378
1090	17239	14363
1091	17254	14346
1092	17269	14330
1093	17283	14313
1094	17298	14296
1095	17313	14280
1096	17330	14265
1097	17345	14248
1098	17361	14233
1099	17378	14218
1100	17392	14201
1101	17408	14186
1102	17423	14169
1103	17438	14153
1104	17455	14138
1105	17470	14121
1106	17486	14105
1107	17506	14093
1108	17522	14078
1109	17537	14061
1110	17554	14047
1111	17571	14032
1112	17585	14014
1113	17600	13998
1114	17618	13984
1115	17632	13967
1116	17647	13950
1117	17660	13932
1118	17678	13918
1119	17693	13902
1120	17711	13887
1121	17728	13872
1122	17745	13857
1123	17764	13844
1124	17783	13831
1125	17797	13814
1126	17813	13799
1127	17830	13783
1128	17844	13767
1129	17860	13751
1130	17874	13733
1131	17892	13719
1132	17907	13702
1133	17919	13684
1134	17935	13668
1135	17949	13651
1136	17964	13635
1137	17982	13621
1138	17998	13605
1139	18015	13590
1140	18029	13573
1141	18044	13557
1142	18058	13539
1143	18075	13524
1144	18086	13505
1145	18104	13491
1146	18122	13476
1147	18137	13460
1148	18150	13443
1149	18166	13427
1150	18181	13411
1151	18198	13395
1152	18216	13382
1153	18232	13366
1154	18250	13351
1155	18266	13336
1156	18283	13321
1157	18299	13305
1158	18313	13289
1159	18329	13272
1160	18346	13258
1161	18363	13243
1162	18379	13227
1163	18398	13214
1164	18412	13197
1165	18428	13181
1166	18443	13164
1167	18461	13150
1168	18479	13136
1169	18494	13120
1170	18512	13105
1171	18527	13089
1172	18543	13073
1173	18557	13056
1174	18570	13039
1175	18586	13023
1176	18602	13007
1177	18618	12991
1178	18631	12974
1179	18647	12958
1180	18664	12943
1181	18678	12926
1182	18692	12909
1183	18706	12892
1184	18725	12878
1185	18738	12861
1186	18754	12845
1187	18772	12830
1188	18784	12812
1189	18801	12797
1190	18817	12781
1191	18830	12764
1192	18846	12748
1193	18863	12733
1194	18881	12719
1195	18895	12702
1196	18915	12689
1197	18933	12675
1198	18951	12660
1199	18965	12643
1200	18983	12629
1201	19002	12615
1202	19017	12599
1203	19033	12583
1204	19050	12568
1205	19066	12552
1206	19083	12537
1207	19103	12524
1208	19119	12509
1209	19136	12494
1210	19153	12478
1211	19168	12462
1212	19182	12445
1213	19199	12430
1214	19216	12415
1215	19232	12399
1216	19245	12382
1217	19258	12364
1218	19277	12350
1219	19292	12334
1220	19306	12317
1221	19319	12299
1222	19333	12283
1223	19352	12269
1224	19366	12252
1225	19380	12235
1226	19395	12218
1227	19411	12203
1228	19426	12187
1229	19439	12169
1230	19454	12153
1231	19468	12136
1232	19482	12119
1233	19498	12103
1234	19514	12087
1235	19529	12071
1236	19544	12055
1237	19561	12040
1238	19578	12025
1239	19595	12009
1240	19609	11993
1241	19625	11977
1242	19642	11962
1243	19656	11945
1244	19673	11930
1245	19691	11916
1246	19711	11902
1247	19730	11888
1248	19745	11872
1249	19759	11855
1250	19775	11839
1251	19792	11824
1252	19807	11808
1253	19822	11792
1254	19836	11775
1255	19854	11761
1256	19869	11744
1257	19882	11727
1258	19897	11711
1259	19914	11695
1260	19932	11681
1261	19948	11665
1262	19965	11650
1263	19983	11635
1264	19998	11619
1265	20013	11603
1266	20029	11587
1267	20045	11572
1268	20062	11556
1269	20078	11541
1270	20094	11525
1271	20111	11510
1272	20128	11495
1273	20144	11479
1274	20159	11462
1275	20178	11449
1276	20192	11432
1277	20208	11416
1278	20222	11399
1279	20238	11383
1280	20251	11366
1281	20267	11351
1282	20281	11334
1283	20295	11317
1284	20310	11301
1285	20324	11284
1286	20341	11269
1287	20356	11253
1288	20373	11237
1289	20393	11224
1290	20409	11208
1291	20425	11192
1292	20439	11176
1293	20457	11161
1294	20473	11145
1295	20488	11129
1296	20504	11113
1297	20518	11097
1298	20533	11080
1299	20546	11063
1300	20561	11047
1301	20575	11030
1302	20588	11012
1303	20602	10996
1304	20619	10981
1305	20635	10965
1306	20651	10949
1307	20667	10934
1308	20684	10918
1309	20700	10903
1310	20714	10886
1311	20729	10870
1312	20744	10854
1313	20761	10838
1314	20777	10823
1315	20793	10807
1316	20809	10791
1317	20823	10775
1318	20837	10758
1319	20853	10742
1320	20866	10725
1321	20880	10708
1322	20896	10693
1323	20913	10678
1324	20929	10662
1325	20944	10645
1326	20961	10630
1327	20977	10615
1328	20993	10599
1329	21010	10584
1330	21025	10567
1331	21041	10552
1332	21057	10536
1333	21073	10521
1334	21087	10504
1335	21103	10488
1336	21116	10471
1337	21132	10455
1338	21146	10439
1339	21163	10423
1340	21176	10406
1341	21189	10389
1342	21204	10373
1343	21219	10357
1344	21233	10340
1345	21247	10323
1346	21262	10307
1347	21278	10292
1348	21294	10276
1349	21310	10260
1350	21326	10244
1351	21341	10228
1352	21360	10214
1353	21376	10199
1354	21392	10183
1355	21406	10166
1356	21420	10149
1357	21437	10134
1358	21453	10118
1359	21467	10102
1360	21481	10085
1361	21496	10069
1362	21512	10054
1363	21529	10038
1364	21544	10022
1365	21558	10006
1366	21574	9990
1367	21590	9974
1368	21605	9958
1369	21624	9944
1370	21643	9929
1371	21659	9914
1372	21678	9899
1373	21693	9883
1374	21706	9866
1375	21722	9850
1376	21736	9834
1377	21752	9818
1378	21769	9803
1379	21785	9787
1380	21799	9771
1381	21814	9755
1382	21830	9739
1383	21848	9724
1384	21862	9707
1385	21877	9691
1386	21891	9675
1387	21905	9658
1388	21920	9642
1389	21934	9626
1390	21948	9609
1391	21964	9593
1392	21980	9577
1393	21995	9561
1394	22012	9546
1395	22028	9531
1396	22047	9516
1397	22066	9502
1398	22081	9485
1399	22094	9469
1400	22107	9452
1401	22122	9435
1402	22136	9419
1403	22152	9403
1404	22167	9387
1405	22184	9372
1406	22199	9356
1407	22214	9340
1408	22231	9324
1409	22247	9309
1410	22262	9292
1411	22279	9277
1412	22293	9261
1413	22307	9244
1414	22320	9228
1415	22336	9212
1416	22355	9197
1417	22371	9182
1418	22386	9165
1419	22399	9148
1420	22416	9133
1421	22432	9118
1422	22449	9102
1423	22463	9086
1424	22479	9070
1425	22494	9054
1426	22507	9037
1427	22522	9021
1428	22540	9006
1429	22559	8992
1430	22574	8976
1431	22589	8959
1432	22603	8943
1433	22618	8927
1434	22634	8911
1435	22651	8896
1436	22664	8879
1437	22679	8863
1438	22696	8848
1439	22711	8832
1440	22726	8816
1441	22740	8799
1442	22756	8784
1443	22769	8767
1444	22782	8750
1445	22795	8733
1446	22810	8717
1447	22824	8701
1448	22838	8684
1449	22854	8669
1450	22870	8653
1451	22882	8636
1452	22899	8620
1453	22915	8605
1454	22930	8589
1455	22949	8574
1456	22964	8558
1457	22979	8542
1458	22995	8526
1459	23012	8511
1460	23026	8495
1461	23040	8478
1462	23056	8462
1463	23069	8446
1464	23084	8430
1465	23098	8413
1466	23114	8398
1467	23130	8382
1468	23147	8367
1469	23161	8350
1470	23174	8333
1471	23187	8317
1472	23203	8301
1473	23219	8285
1474	23234	8270
1475	23248	8253
1476	23264	8237
1477	23282	8222
1478	23298	8207
1479	23316	8192
1480	23332	8176
